group	n	mae	mape	batch
Midday	6587	24.583583908799614	0.5964088081242082	svm_30min_summer
Weekday	25444	23.99200267893364	0.6815037432597143	svm_30min_summer
Morning Peak	7620	23.645878234551358	0.6382401192390497	svm_30min_summer
Summer	31495	23.626805612184434	0.7330578525092429	svm_30min_summer
Weekend Peak	518	23.34820502410471	1.4539402190228243	svm_30min_summer
Evening Peak	6242	23.198250316448682	0.4465679587411609	svm_30min_summer
Night	4188	23.173367114792654	0.9453024433800423	svm_30min_summer
Weekend	6051	22.091179407199025	0.9497903018418387	svm_30min_summer
Weekend Evening	5186	21.40737558782659	0.8314757139345378	svm_30min_summer
med frequency route	18036	20.383023348688774	0.7675460110927945	svm_30min_summer
NS route	24110	19.81955558587578	0.5504894695004073	svm_30min_summer
Non-RapidRide	28622	17.04151949048744	0.6070508566383838	svm_30min_summer
Trolley Type	5503	16.679791602946874	0.3601737044184365	svm_30min_summer
Seattle Region	13014	12.868634848648126	0.33306202987026834	svm_30min_summer
low frequency route	6676	11.862159857565347	0.5010506742242585	svm_30min_summer
North King County Region	1776	11.715445203517444	0.6292681057887289	svm_30min_summer
South King County Region	6347	11.266851170919928	0.37929232878483604	svm_30min_summer
East King County Region	5388	11.09415369954278	0.45322457269546673	svm_30min_summer
Winter	0			svm_30min_summer
RapidRide	7623	68.13966284634557	2.015038356662034	svm_15min_combined
Express Region	12355	65.31017449252603	2.325950633410618	svm_15min_combined
high frequency route	18900	31.11849450630131	0.8653233497653151	svm_15min_combined
EW route	15931	28.22460150241951	1.2582271782188155	svm_15min_combined
Weekend Morning	651	25.23680170216364	1.7984247739939483	svm_15min_combined
Early Morning	1608	22.01604962952104	1.712896784791479	svm_15min_combined
Weekend Peak	1026	21.44090858941889	1.3443830393294174	svm_15min_combined
Conventional Type	53849	20.84396283827527	0.8182649230910685	svm_15min_combined
Night	8618	19.75724195798332	0.9949133647242947	svm_15min_combined
Summer	39305	19.52123410554649	0.7284942550854998	svm_15min_combined
Midday	14599	19.480043720802996	0.5757867977800677	svm_15min_combined
Weekend	11943	19.333763783166543	0.9375742772383084	svm_15min_combined
