stop_id	stop_name
81580	132ND AVE NE & NE 88TH ST (81580)
49350	42ND AVE S & S 152ND ST (49350)
31850	CALIFORNIA AVE SW & SW ANDOVER ST (31850)
31840	CALIFORNIA AVE SW & SW DAKOTA ST (31840)
80506	NE 120TH ST & SLATER AVE NE (80506)
22170	DUMAR WAY SW & SW ORCHARD ST (22170)
600	3RD AVE & VIRGINIA ST (600)
68230	NE 8TH ST & 164TH AVE NE (68230)
73990	166TH AVE NE & NE 91ST ST (73990)
1690	3RD AVE & VINE ST (1690)
46766	VASHON FERRY DOCK & 103RD AVE SW (46766)
46822	SW 264TH ST & 99TH AVE SW (46822)
46769	VASHON FERRY DOCK & 103RD AVE SW (46769)
46791	VASHON HWY SW & SW 204TH ST (46791)
47255	SW TAHLEQUAH RD & SR 163 (47255)
46770	VASHON HWY SW & SW BURTON DR (46770)
19640	SW BRACE POINT DR & SW WILDWOOD PL (19640)
85170	26TH AVE SW & SW 116TH ST (85170)
21080	SW ROXBURY ST & 15TH AVE SW BAY #3 (21080)
46463	RENTON TRANSIT CENTER BAY #10 (46463)
46479	RENTON TRANSIT CENTER BAY #4 (46479)
41890	S LANDER ST & 15TH AVE S (41890)
65931	92ND AVE NE & NE 28TH ST (65931)
75406	STEVENS WAY & PEND OREILLE RD (75406)
77737	NE 175TH ST & 10TH AVE NE (77737)
37655	NE 85TH ST & 35TH AVE NE (37655)
9860	SAND POINT WAY NE & INVERNESS DR NE (9860)
35295	NORTHGATE TRANSIT CENTER BAY #5 (35295)
9978	SAND POINT WAY NE & 40TH AVE NE (9978)
10640	SAND POINT WAY NE & NE 74TH ST (10640)
9630	11TH AVE NE & NE 42ND ST (9630)
98780	NE 143RD ST & 17TH AVE NE (98780)
37680	NE 85TH ST & 35TH AVE NE (37680)
37480	NE 65TH ST & 40TH AVE NE (37480)
39976	25TH AVE SW & SW TRENTON ST (39976)
21620	DELRIDGE WAY SW & SW ANDOVER ST (21620)
61082	SEATAC AIRPORT ACS & INTERNATIONAL BLVD (61082)
605	3RD AVE & BELL ST (605)
52303	BURIEN TRANSIT CENTER BAY #3 (52303)
515	3RD AVE S & S MAIN ST (515)
1471	S JACKSON ST & 5TH AVE S (1471)
1451	S MAIN ST & 3RD AVE S (1451)
9130	BROOKLYN AVE NE & NE 50TH ST (9130)
9530	EASTLAKE AVE E & E HAMLIN ST (9530)
9510	EASTLAKE AVE E & E LOUISA ST (9510)
9605	ROOSEVELT WAY NE & NE 45TH ST (9605)
46464	RENTON TRANSIT CENTER BAY #9 (46464)
45303	RENTON TRANSIT CENTER BAY #6 (45303)
54842	HARRINGTON AVE NE & NE 16TH ST (54842)
62326	TIMBERLANE WAY SE & SE 265TH ST (62326)
59839	LAKE AVE S & S GRADY WAY BAY #4 (59839)
455	UNIVERSITY ST STN & 3RD AV - SENECA OR UNIVERSITY STREET BAY #C (455)
1108	WESTLAKE TUNNEL STATION & PINE ST - 3RD 4TH & 5TH AVENUE BAY #C (1108)
29091	NE 45TH ST & 45TH AVE NE (29091)
625	S WASHINGTON ST & 4TH AVE S (625)
18391	DEXTER AVE N & THOMAS ST (18391)
17440	MERIDIAN AVE N & N 49TH ST (17440)
10653	NOAA & BUILDING 1 (10653)
400	3RD AVE & BELL ST (400)
11190	BROADWAY  E & E HARRISON ST (11190)
48470	1ST AVE S & SW 146TH ST (48470)
48311	4TH AVE SW & SW 110TH ST (48311)
48310	4TH AVE SW & SW 108TH ST (48310)
3541	12TH AVE S & S MASSACHUSETTS ST (3541)
51970	9TH AVE SW & SW HENDERSON ST (51970)
590	3RD AVE & PINE ST (590)
31811	SW ALASKA ST & 44TH AVE SW BAY #2 (31811)
14960	ALKI AVE SW & 61ST AVE SW (14960)
30600	4TH AVE S & S HOLGATE ST (30600)
30590	4TH AVE S & S WALKER ST (30590)
37220	SW OREGON ST & 44TH AVE SW (37220)
37090	SW ATLANTIC ST & 44TH AVE SW (37090)
30570	4TH AVE S & S LANDER ST (30570)
30560	4TH AVE S & S FOREST ST (30560)
22820	35TH AVE SW & SW AVALON WAY (22820)
19875	SW ALASKA ST & 42ND AVE SW (19875)
30550	4TH AVE S & S HANFORD ST (30550)
41780	15TH AVE S & S LUCILE ST (41780)
450	3RD AVE & UNION ST (450)
950	STEWART ST & 7TH AVE (950)
45820	4TH AVE S & S BENNETT ST (45820)
45810	4TH AVE S & S LUCILE ST (45810)
34830	S GENESEE ST & 48TH AVE S (34830)
45770	4TH AVE S & S MICHIGAN ST (45770)
1085	PINE ST & 9TH AVE (1085)
51740	9TH AVE SW & SW TRENTON ST (51740)
10910	12TH AVE NE & NE 47TH ST (10910)
1000	PINE ST & 9TH AVE (1000)
