group	n	mae	mape	batch
East King County Region	10059	3.6887381491182025	0.21785699836444516	nn_15min_combined
Express Region	4690	14.113927555389242	0.41313825308342544	final_nn_15min_no_rr
EW route	13938	7.133176189359111	0.2562592688975849	final_nn_15min_no_rr
Evening Peak	12651	7.0689649468080376	0.1982183513423302	final_nn_15min_no_rr
Trolley Type	13905	6.10080627762384	0.22567268158884818	final_nn_15min_no_rr
Summer	34928	6.030428185410528	0.24448080506920716	final_nn_15min_no_rr
high frequency route	12259	5.984581718379477	0.18644019653590244	final_nn_15min_no_rr
Morning Peak	15419	5.782667677785506	0.2089418216210931	final_nn_15min_no_rr
Weekday	50003	5.779802533652028	0.22085996541868474	final_nn_15min_no_rr
med frequency route	36056	5.763225151769386	0.24154505697144785	final_nn_15min_no_rr
Midday	13072	5.629233571533182	0.200769484872678	final_nn_15min_no_rr
Non-RapidRide	59999	5.507735071528917	0.22856020077766956	final_nn_15min_no_rr
Conventional Type	46094	5.32882555791001	0.22942872739771744	final_nn_15min_no_rr
Seattle Region	30766	5.228350754794084	0.19924093134267026	final_nn_15min_no_rr
NS route	46061	5.015878657201889	0.22015949027835222	final_nn_15min_no_rr
Winter	25071	4.779538147526807	0.20634314630936965	final_nn_15min_no_rr
South King County Region	11355	4.708552892383422	0.2354739508015658	final_nn_15min_no_rr
Early Morning	1297	4.388281384337932	0.5580600760190462	final_nn_15min_no_rr
Weekend Morning	441	4.370788681263826	0.5780817031198978	final_nn_15min_no_rr
low frequency route	11684	4.218997192644004	0.23281502463656267	final_nn_15min_no_rr
Weekend Evening	8701	4.196696461733559	0.24522844349815126	final_nn_15min_no_rr
Weekend	9996	4.146771755348257	0.2671156045821638	final_nn_15min_no_rr
Night	7564	4.116617586170158	0.26175858101993765	final_nn_15min_no_rr
